"logPo2" " T/C" "Ox content" "Charge"  "relax number"  Ca3Co4O9 weight: 0.1406 density:  4.60 molar mass:  499.9 cell volume: 0.600
 -3.176   799.6   7.31422    0.00000  499
 -3.965   749.7   7.31424    0.00000  500
 -3.130   800.2   7.31422    0.00000  501
 -2.417   850.2   7.31408    0.00000  502
 -1.849   900.6   7.31365    0.00000  503
 -1.866   901.0   7.25818   -3.01201  504
 -2.454   850.7   7.25860    0.00000  505
 -3.159   799.7   7.25872    0.00000  506
 -3.932   750.3   7.25875    0.00000  507
 -3.131   799.0   7.25872    0.00000  508
 -2.422   850.0   7.25859    0.00000  509
 -1.858   900.2   7.25817    0.00000  510
 -1.873   900.9   7.20269   -3.01221  511
 -2.455   850.7   7.20310    0.00000  512
 -3.151   799.3   7.20322    0.00000  513
 -3.906   749.6   7.20325    0.00000  514
 -3.132   799.1   7.20322    0.00000  515
 -2.431   850.0   7.20309    0.00000  516
 -1.863   900.3   7.20268    0.00000  517
 -1.879   900.1   7.14719   -3.01240  518
 -2.449   850.7   7.14759    0.00000  519
 -3.123   799.5   7.14772    0.00000  520
 -3.858   749.8   7.14775    0.00000  521
 -3.057   800.0   7.14771    0.00000  522
 -2.425   850.1   7.14759    0.00000  523
 -1.865   900.3   7.14718    0.00000  524
 -1.867   900.8   7.14534   -0.10012  525
 -2.442   850.4   7.14575    0.00000  526
 -3.120   799.3   7.14587    0.00000  527
 -3.848   749.8   7.14590    0.00000  528
 -3.102   799.5   7.14587    0.00000  529
 -2.419   850.4   7.14574    0.00000  530
 -1.857   900.6   7.14533    0.00000  531
 -1.888   900.1   7.09746   -2.59989  532
 -2.441   851.0   7.09785    0.00000  533
 -3.105   799.7   7.09797    0.00000  534
 -3.842   749.1   7.09800    0.00000  535
 -3.086   799.1   7.09797    0.00000  536
 -2.429   850.2   7.09784    0.00000  537
 -1.870   900.3   7.09744    0.00000  538
 -1.902   900.1   7.04200   -3.01104  539
 -2.449   850.7   7.04237    0.00000  540
 -3.100   799.6   7.04249    0.00000  541
 -3.805   749.6   7.04252    0.00000  542
 -3.109   799.0   7.04249    0.00000  543
 -2.446   850.2   7.04237    0.00000  544
 -1.886   900.5   7.04198    0.00000  545
 -1.898   900.2   6.98652   -3.01068  546
 -2.442   850.6   6.98690    0.00000  547
 -3.083   799.7   6.98702    0.00000  548
 -3.776   749.4   6.98705    0.00000  549
 -3.083   800.1   6.98702    0.00000  550
 -2.451   850.2   6.98690    0.00000  551
 -1.895   900.5   6.98652    0.00000  552
 -1.910   900.3   6.93104   -3.01217  553
 -2.442   850.6   6.93140    0.00000  554
 -3.064   800.1   6.93152    0.00000  555
 -3.748   749.6   6.93155    0.00000  556
 -3.094   799.5   6.93152    0.00000  557
 -2.463   850.5   6.93141    0.00000  558
 -1.896   900.9   6.93102    0.00000  559
 -1.927   900.7   6.87556   -3.01230  560
 -2.451   850.0   6.87590    0.00000  561
 -3.059   799.5   6.87602    0.00000  562
 -3.717   749.6   6.87605    0.00000  563
 -3.091   799.4   6.87602    0.00000  564
 -2.483   850.1   6.87591    0.00000  565
 -1.905   900.7   6.87553    0.00000  566
 -2.011   899.8   6.82018   -3.01059  567
 -2.430   850.1   6.82042    0.00000  568
 -3.004   799.8   6.82054    0.00000  569
 -3.637   749.4   6.82058    0.00000  570
 -3.067   800.3   6.82055    0.00000  571
 -2.515   850.5   6.82045    0.00000  572
 -1.998   900.2   6.82016    0.00000  573
 -2.088   900.3   6.80177   -1.00242  574
 -2.403   850.6   6.80194    0.00000  575
 -2.981   799.0   6.80207    0.00000  576
 -3.562   750.1   6.80210    0.00000  577
 -3.074   799.1   6.80208    0.00000  578
 -2.554   850.5   6.80199    0.00000  579
 -2.087   900.2   6.80177    0.00000  580
 -2.312   900.7   6.78346   -1.00172  581
 -2.385   849.5   6.78348    0.00000  582
 -2.932   800.0   6.78361    0.00000  583
 -3.519   750.2   6.78365    0.00000  584
 -3.107   799.6   6.78362    0.00000  585
